Group;Question Label;Topic Label;Year;Akse;Ordforklaring;Antpers;Farveskala;Gennemsnit;Score (Indekseret score) (gennemsnit) (label);Score (Indekseret score) (gennemsnit);Score (Indekseret score);Score
Mænd, 55 - 64 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";5080;38,85261624;;;;18,22396742;0,911198371
Mænd, 45 - 54 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";5367;29,42552909;;;;19,63780222;0,981890111
Mænd, 35 - 44 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";3496;18,43537149;;;;21,28605974;1,064302987
Mænd, 25 - 34 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";1876;2,222449347;;;;23,71760548;1,185880274
Mænd, 18 - 24 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";591;9,43916669;;;;22,63527262;1,131763631
Mænd;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";16410;21,19144974;;;;20,87271474;1,043635737
Kvinder, 55 - 64 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";5600;-3,069596506;;;;24,51128421;1,22556421
Kvinder, 45 - 54 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";6403;-8,978178761;;;;25,39742847;1,269871424
Kvinder, 35 - 44 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";4266;-15,78381262;;;;26,41810876;1,320905438
Kvinder, 25 - 34 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";2292;-47,26723715;;;;31,13986008;1,556993004
Kvinder, 18 - 24 år;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";645;-61,14738376;;;;33,22154597;1,661077299
Kvinder;Symptomer på angst;Angstsymptomer;2018;Score;"Spørgsmål: I de sidste fire uger, hvor meget har du været generet af; A) at du pludselig bliver bange uden grund; B) nervøsitet eller indre uro; C) anfald af rædsel eller panik; D) at bekymre dig for meget?

-Slet ikke
-Lidt / Noget / En hel del / Særdeles meget

I resultaterne præsenteres den samlede score for antal forskellige symptomer (0-4).";19206;-21,19144974;;;;27,22912338;1,361456169
Mænd, 55 - 64 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5123;-0,160085691;;;;75,87958447;3,793979223
Mænd, 55 - 64 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5125;-36,6365781;;;;75,10566788;3,755283394
Mænd, 55 - 64 år;Arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Forestil dig, at din arbejdsevne er 10 point værd, når den er bedst. Hvor mange point vil du give din nuværende arbejdsevne?

-0 ~ Ude af stand til at arbejde
-1
-2
-3
-4
- 5
-6
-7
-8
-9
-10 ~ Bedste arbejdsevne

I resultaterne præsenteres den gennemsnitlige score (0-10).";5132;-14,53329817;;;;82,7780551;8,27780551
Mænd, 45 - 54 år;Psykisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de psykiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5415;30,85540437;;;;77,93270437;3,896635219
Mænd, 45 - 54 år;Fysisk arbejdsevne;Arbejdsevne;2018;Score;"Spørgsmål: Hvordan vurderer du din nuværende arbejdsevne i forhold til de fysiske krav i dit arbejde?

- 1. Dårlig
- 2. Nogenlunde
- 3. God
- 4. Særdeles god
- 5. Fremragende

I resultaterne præsenteres den gennemsnitlige score (1-5).";5422;1,014546534;;;;79,30749878;3,965374939
